エリア,エリア詳細,名称,入場方式,所要時間,備考
エンパワーリングゾーン,大屋根リング内右部,アイルランド,先着・自由,30,
エンパワーリングゾーン,大屋根リング内右部,アメリカ,先着,25,
エンパワーリングゾーン,大屋根リング内右部,アラブ,先着・自由,15,
エンパワーリングゾーン,大屋根リング内右部,オーストリア,先着,30,
エンパワーリングゾーン,大屋根リング内右部,カタール,先着,25,
エンパワーリングゾーン,大屋根リング内右部,カナダ,当日予約・先着,15,
エンパワーリングゾーン,大屋根リング内右部,クウェート,当日予約・先着,30,
エンパワーリングゾーン,大屋根リング内右部,コモンズA,自由,-,
エンパワーリングゾーン,大屋根リング内右部,コロンビア,先着・自由,20,
エンパワーリングゾーン,大屋根リング内右部,スイス,先着,20,
エンパワーリングゾーン,大屋根リング内右部,フィリピン,先着,30,
エンパワーリングゾーン,大屋根リング内右部,ブラジル,自由,20,
エンパワーリングゾーン,大屋根リング内右部,フランス,先着,25,
エンパワーリングゾーン,大屋根リング内右部,ベトナム,自由,15,
エンパワーリングゾーン,大屋根リング内右部,ペルー,自由,15,
エンパワーリングゾーン,大屋根リング内右部,ポルトガル,先着,14,
エンパワーリングゾーン,大屋根リング内右部,マレーシア,先着・自由,19,
エンパワーリングゾーン,大屋根リング内右部,ミャクミャクハウス,先着,-,
エンパワーリングゾーン,大屋根リング内右部,モザンビーク,先着,30,
エンパワーリングゾーン,大屋根リング内右部,ヨルダン,先着,10,
エンパワーリングゾーン,大屋根リング内右部,ロボット＆モビリティ,自由,30,
エンパワーリングゾーン,大屋根リング内右部,空飛ぶ車,当日予約,40,
エンパワーリングゾーン,大屋根リング内右部,中国,自由,30,
コネクティングゾーン,大屋根リング内上部,アゼルバイジャン,自由,20,
コネクティングゾーン,大屋根リング内上部,インド,先着,30,
コネクティングゾーン,大屋根リング内上部,インドネシア,先着,30,
コネクティングゾーン,大屋根リング内上部,ウズベキスタン,自由,20,
コネクティングゾーン,大屋根リング内上部,エジプト,先着,10,
コネクティングゾーン,大屋根リング内上部,オーストラリア,当日予約・先着,15,
コネクティングゾーン,大屋根リング内上部,コモンズB,自由,-,
コネクティングゾーン,大屋根リング内上部,コモンズF,自由,15（カザフスタン）,
コネクティングゾーン,大屋根リング内上部,サウジアラビア,自由,25,
コネクティングゾーン,大屋根リング内上部,スペイン,先着,30,
コネクティングゾーン,大屋根リング内上部,セネガル,先着,20,
コネクティングゾーン,大屋根リング内上部,セルビア,先着・自由,30,
コネクティングゾーン,大屋根リング内上部,タイ,当日予約・先着,30,
コネクティングゾーン,大屋根リング内上部,デジタルウォレット,自由,-,
コネクティングゾーン,大屋根リング内上部,ドイツ,先着,40,
コネクティングゾーン,大屋根リング内上部,トルコ,自由,20,
コネクティングゾーン,大屋根リング内上部,ネパール,自由,×,
コネクティングゾーン,大屋根リング内上部,バングラデシュ,先着,20,
コネクティングゾーン,大屋根リング内上部,モナコ,自由,60,
コネクティングゾーン,大屋根リング内上部,ルクセンブルク,先着,30,
コネクティングゾーン,大屋根リング内上部,大韓民国,当日予約・先着,20,
コネクティングゾーン,大屋根リング内上部,夜の地球,自由,20,
シグネチャーゾーン,大屋根リング内中央下部,BetterCo-Being,当日予約,45,
シグネチャーゾーン,大屋根リング内中央下部,EARTHMART,当日予約,40,
シグネチャーゾーン,大屋根リング内中央下部,null,当日予約,30,
シグネチャーゾーン,大屋根リング内中央下部,いのちのあかし,当日予約・先着・自由（一部）,55,
シグネチャーゾーン,大屋根リング内中央下部,いのちのパーク,？,-,
シグネチャーゾーン,大屋根リング内中央下部,いのちの未来,当日予約,60,
シグネチャーゾーン,大屋根リング内中央下部,いのちめぐる冒険,当日予約・自由（一部）,50,
シグネチャーゾーン,大屋根リング内中央下部,ウォータープラザ,？,-,
シグネチャーゾーン,大屋根リング内中央下部,クラゲ館,当日予約・自由（一部）,37,
シグネチャーゾーン,大屋根リング内中央下部,平衡館,当日予約,15,
セービングゾーン,大屋根リング内左部,EU,当日予約・先着,15,
セービングゾーン,大屋根リング内左部,アルジェリア,自由,20,
セービングゾーン,大屋根リング内左部,アンゴラ,自由,-,
セービングゾーン,大屋根リング内左部,イタリア,当日予約・先着,30,
セービングゾーン,大屋根リング内左部,オマーン,先着,15,
セービングゾーン,大屋根リング内左部,オランダ,当日予約・自由（9：00〜11：00のみ）,25,
セービングゾーン,大屋根リング内左部,カンボジア,先着,15,
セービングゾーン,大屋根リング内左部,コモンズD,自由,-,
セービングゾーン,大屋根リング内左部,コモンズE（万博漫画展）,自由,5,
セービングゾーン,大屋根リング内左部,シンガポール,自由,20,
セービングゾーン,大屋根リング内左部,チュニジア,先着,30,
セービングゾーン,大屋根リング内左部,チリ,自由,15,
セービングゾーン,大屋根リング内左部,バルト（ラトビア・リトアニア）,自由,20,
セービングゾーン,大屋根リング内左部,ハンガリー,当日予約・先着,15,
セービングゾーン,大屋根リング内左部,ブルガリア,先着,20,
セービングゾーン,大屋根リング内左部,ベルギー,先着,25,
セービングゾーン,大屋根リング内左部,ポーランド,当日予約・自由（一部）？,40,
セービングゾーン,大屋根リング内左部,ルーマニア,先着・自由,30,
セービングゾーン,大屋根リング内左部,イギリス,先着,20,
西ゲートゾーン,西ゲート付近,BLUEOCEAN,当日予約・自由（一部）,30,
西ゲートゾーン,西ゲート付近,PASONA,当日予約・先着△,30,
西ゲートゾーン,西ゲート付近,TECHWORLD,当日予約・先着△,30,
西ゲートゾーン,西ゲート付近,おばけワンダーランド,当日予約・先着△・自由（一部）,40,
西ゲートゾーン,西ゲート付近,よしもと,自由,30,
西ゲートゾーン,西ゲート付近,宴,自由,20,
西ゲートゾーン,西ゲート付近,飯田グループ,当日予約・先着△,45,
静けさの森ゾーン,大屋根リング内中央部,未来食堂,？,-,
東ゲートゾーン,東ゲート付近,NTT,当日予約・自由（一部）,30,
東ゲートゾーン,東ゲート付近,ウーマンズ,当日予約・先着△,30,
東ゲートゾーン,東ゲート付近,ノモの国,当日予約,60,
東ゲートゾーン,東ゲート付近,ヘルスケア,当日予約・先着・自由（一部）,60,
東ゲートゾーン,東ゲート付近,関西,当日予約,60,
東ゲートゾーン,東ゲート付近,三菱未来館,当日予約・先着△,60,
東ゲートゾーン,東ゲート付近,住友館,当日予約・先着△,65,
東ゲートゾーン,東ゲート付近,電力館,当日予約,45,
東ゲートゾーン,東ゲート付近,日本館,当日予約・自由（一部）,40,
エンパワーリングゾーン,大屋根リング内右部,チェコ,自由,30,
エンパワーリングゾーン,大屋根リング内右部,マルタ,自由,20,
エンパワーリングゾーン,大屋根リング内右部,北欧館,自由,20,
エンパワーリングゾーン,大屋根リング内右部,トルクメニスタン,先着,20,
エンパワーリングゾーン,大屋根リング内右部,バーレーン,自由,20,
エンパワーリングゾーン,大屋根リング内右部,当日登録センター,自由,-,
エンパワーリングゾーン,大屋根リング内右部,国際赤十字,当日予約,30,
エンパワーリングゾーン,大屋根リング内右部,国際機関館,自由,-,
西ゲートゾーン,西ゲート付近,GUNDAM,当日予約,50,
フューチャーライフゾーン,西ゲートさらに西側,未来の都市,当日予約・先着△,35,
エンパワーリングゾーン,大屋根リング内右部,国連館,当日予約・先着,20,
